,0
0,-1038.0089981235033
1,-1694.1884175978025
2,-834.0473205025625
3,-592.6114164310513
4,-1999.5602091460523
5,-1583.2661510243145
6,-1646.7174322699318
7,-704.2329534583974
8,-1388.7780596415867
9,-784.1628590884173
10,-583.1595378212704
11,-1102.4752432085902
12,-668.4590936339126
13,-581.3048748278695
14,-284.5738754940451
15,-413.4592466126423
16,-403.8572420570663
17,-334.0787775409437
18,-1266.9150969001364
19,-1474.6409310388337
20,-434.83211646261077
21,-1436.2351830142338
22,-1354.6434357466226
23,-458.37192201034173
24,-1308.3908420616401
25,-481.2105044508144
26,-461.93656939040665
27,-379.6506994496859
28,-1068.1844945715634
29,-1425.2568648372194
30,-724.9290890633688
31,-979.3261460047875
32,-567.6884374343048
33,-1284.3914923729772
34,-1083.1472332055014
35,-990.7589994607591
36,-812.5982990204283
37,-319.33661351415395
38,-523.8478854651229
39,-499.91474224025916
40,-1389.5702147859986
41,-443.5738306641981
42,-1131.1550160041816
43,-1076.738630502754
44,-854.0626320987118
45,-470.44395655038863
46,-1038.8269349154532
47,-945.0690674949802
48,-392.99550358907504
49,-1103.3050935466563
50,-274.40722313511816
51,-540.6426227648635
52,-1020.0793567318167
53,-702.0836948176302
54,-938.9805883588537
55,-527.8208269698903
56,-1065.5206853995182
57,-998.9479939357905
58,-266.72824930828
59,-1071.7630529201472
60,-435.409545959141
61,-250.71173688597804
62,-348.24069350407507
63,-1052.5719648832805
64,-540.1084909327296
65,-450.4095021418804
66,-236.61058510447617
67,-774.4364659511308
68,-302.6724347475964
69,-830.7206914971262
70,-576.5626703100046
71,-1035.5528755945445
72,-515.2510999042214
73,-162.8886342760494
74,-1035.2459637877603
75,-1012.3342907832199
76,-601.4449251065129
77,-908.8031851317318
78,-293.42078189491065
79,-951.2634057344502
80,-1051.309972341249
81,-970.9679830590032
82,-1032.4664394165075
83,-404.36032193563346
84,-268.8743308914069
85,-263.0643266567265
86,-188.15776895466064
87,-249.8399162506161
88,-938.6499089913036
89,-265.03685992153027
90,-1098.5152645222895
91,-312.305668888893
92,-604.9059834099176
93,-747.6033385023884
94,-230.2765156581941
95,-854.360071373771
96,-350.9944868123018
97,-303.3185578004014
98,-135.23168498654266
99,-882.5944211788603
100,-752.1934920865542
101,-376.4198036017921
102,-942.9484193437411
103,-884.8792169190037
104,-398.2140422758238
105,-985.9032897608001
106,-765.5511302309718
107,-296.46863029439834
108,-909.9234986113694
109,-966.7966378052005
110,-149.001539055308
111,-550.6857300568336
112,-1018.9734588700499
113,-921.6477370711057
114,-373.6743740352124
115,-344.0867358929376
116,-1111.0914245342906
117,-270.1813177940258
118,-991.7281646879297
119,-1051.7450374669409
120,-982.6355377359322
121,-945.9242087436052
122,-1046.9096987718272
123,-918.551509012111
124,-946.3812361083025
125,-319.7751396098303
126,-381.06676066590484
127,-1003.8910873616076
128,-1022.2285365596204
129,-257.8264702898073
130,-904.4262323310847
131,-1031.5266775607329
132,-324.22815131432037
133,-1013.2715222772861
134,-303.4639886359857
135,-1096.991643272623
136,-930.7389828748829
137,-298.82289393734413
138,-535.7210259291768
139,-377.98232041387234
140,-209.86737210657063
141,-1010.6418674648435
142,-725.1397778816516
143,-225.1123271448642
144,-415.43197887139024
145,-164.04293266679574
146,-353.7720329469445
147,-905.0509028938578
148,-529.3343899956747
149,-291.7374683684753
150,-885.7409138291757
151,-1148.2386035132045
152,-402.3582075520584
153,-906.2754316817357
154,-1309.2765689088287
155,-1005.0952295426857
156,-1103.0750976065467
157,-397.3297537698195
158,-1110.788061744477
159,-493.7939803395418
160,-444.27190540268623
161,-936.4217216462856
162,-528.5833150986718
163,-1039.2723058253014
164,-184.7800981352592
165,-371.06876644034367
166,-989.6655944136037
167,-199.1860269717821
168,-365.46889034775086
169,-954.2678856817945
170,-880.3502630007948
171,-1013.4220122832769
172,-167.4854237230414
173,-267.0543457768059
174,-291.00980005461514
175,-1063.0693929803174
176,-149.15157174733298
177,-224.50073902381826
178,-220.9555597216608
179,-273.83246642743313
180,-364.60667740748363
181,-930.6035471113864
182,-232.9503512176605
183,-426.4720842862978
184,-196.6184410226014
185,-804.4432279048768
186,-879.3884193552668
187,-274.5832647829785
188,-254.23282444223187
189,-270.85183855526196
190,-319.8930226674066
191,-207.4553991800031
192,-1193.6080920197262
193,-124.37511283868697
194,-902.2946001941708
195,-489.80691151297566
196,-238.83306188144098
197,-987.9032072471692
198,-1000.1402105870202
199,-1067.9817470942214
200,-873.3689295433802
201,-332.105217214432
202,-996.7382483355767
203,-870.0189872886476
204,-117.87390027977547
205,-1069.6773705283915
206,-224.85752915557563
207,-210.77318969416962
208,-154.5377147000772
209,-292.9227137103707
210,-1002.4594282605185
211,-117.1520970596104
212,-1037.2301848323673
213,-265.9802157912191
214,-102.85698267910338
215,-267.6975973509028
216,-949.8273435905941
217,-148.24139510151176
218,-1083.395914937739
219,-263.821743700428
220,-957.5010884606685
221,-271.5433013715652
222,-867.7040616684309
223,-212.64297619748424
224,-168.56212552176987
225,-978.144343826519
226,-314.91680375291935
227,-281.887757897259
228,-363.7576060893689
229,-309.3108489997286
230,-105.84680307827877
231,-1054.7244665296012
232,-409.16587858988277
233,-360.72674999327836
234,-1064.7174964590904
235,-923.7296065780486
236,-259.7459827205023
237,-873.8086633998021
238,-868.1045819246851
239,-998.045882831904
240,-179.83861179021176
241,-896.1912710869877
242,-287.3275999374621
243,-982.2151453255526
244,-934.4157239282451
245,-158.34232197283183
246,-1034.596242830825
247,-279.3103716273173
248,-919.3276755322684
249,-131.53378011822457
250,-245.27848167194574
251,-201.79926010415096
252,-282.2433302628286
